city,bourgh,Neighborhood,Address,address_full,Building_Classification,Total_Units,Year_Built,Size,Value,Latitude,Longitude
New york,brooklyn,DOWNTOWN-FULTON FERRY,1 MAIN STREET,"1 MAIN STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,124,1913,227916,23759904,40.7036292,-73.9904097
New york,brooklyn,DOWNTOWN-FULTON FERRY,31 WASHINGTON STREET,"31 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,13,2001,24672,2346000,40.7033862,-73.9893613
New york,brooklyn,DOWNTOWN-FULTON FERRY,133 WATER STREET,"133 WATER STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,69,2006,78352,8488003,40.7033622,-73.9890436
New york,brooklyn,DOWNTOWN-FULTON FERRY,50 BRIDGE STREET,"50 BRIDGE STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,58,1904,52530,4003003,40.7031046,-73.9848276
New york,brooklyn,DOWNTOWN-FULTON FERRY,4 WATER STREET,"4 WATER STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,13,2007,20085,2107998,40.7031257,-73.9936086
New york,brooklyn,DOWNTOWN-FULTON FERRY,30 MAIN STREET,"30 MAIN STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,87,1910,158053,15924001,40.702988,-73.9907803
New york,brooklyn,DOWNTOWN-FULTON FERRY,42 MAIN STREET,"42 MAIN STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,21,1910,23150,2896003,40.7026571,-73.9908197
New york,brooklyn,DOWNTOWN-FULTON FERRY,57 FRONT STREET,"57 FRONT STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,31,1899,41476,4344999,40.7027237,-73.9913959
New york,brooklyn,DOWNTOWN-FULTON FERRY,70 WASHINGTON STREET,"70 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,259,1916,375000,25821990,40.7020292,-73.9898445
New york,brooklyn,DOWNTOWN-FULTON FERRY,84 FRONT STREET,"84 FRONT STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,56,2006,58066,6046006,40.702357,-73.9892037
New york,brooklyn,DOWNTOWN-FULTON FERRY,85 ADAMS STREET,"85 ADAMS STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,79,2006,87554,10238001,40.7017361,-73.9883058
New york,brooklyn,DOWNTOWN-FULTON FERRY,100 JAY STREET,"100 JAY STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",R4-CONDOMINIUM,266,2006,301131,35211998,40.702284,-73.986935
New york,brooklyn,BOERUM HILL,433 WARREN STREET,"433 WARREN STREET,BOERUM HILL,brooklyn,NY",R2-CONDOMINIUM,13,,20037,1834999,40.6837748,-73.9866358
