address_full,Name
"1 MAIN STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop001
"31 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop002
"133 WATER STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop003
"50 BRIDGE STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop004
"4 WATER STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop005
"30 MAIN STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop006
"42 MAIN STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop007
"57 FRONT STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop008
"70 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop009
"84 FRONT STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop010
"85 ADAMS STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop011
"100 JAY STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop012
"433 WARREN STREET,BOERUM HILL,brooklyn,NY",Prop013
"79 BRIDGE STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop014
"206 FRONT STREET,DOWNTOWN-FULTON FERRY,brooklyn,NY",Prop015
"189 BRIDGE STREET,DOWNTOWN-METROTECH,brooklyn,NY",Prop016
"306 GOLD STREET,DOWNTOWN-METROTECH,brooklyn,NY",Prop017
"53 BOERUM PLACE,DOWNTOWN-FULTON MALL,brooklyn,NY",Prop018
"75 SMITH STREET,BOERUM HILL,brooklyn,NY",Prop019
"503 ATLANTIC AVENUE,BOERUM HILL,brooklyn,NY",Prop020
"457 ATLANTIC AVENUE,BOERUM HILL,brooklyn,NY",Prop021
"560 STATE STREET,BOERUM HILL,brooklyn,NY",Prop022
"556 STATE STREET,BOERUM HILL,brooklyn,NY",Prop023
"497 PACIFIC STREET,BOERUM HILL,brooklyn,NY",Prop024
"52 3 AVENUE,BOERUM HILL,brooklyn,NY",Prop025
"321 DEAN STREET,BOERUM HILL,brooklyn,NY",Prop026
"40 DEAN STREET,BOERUM HILL,brooklyn,NY",Prop027
"52 DEAN STREET,BOERUM HILL,brooklyn,NY",Prop028
"55 POPLAR STREET,BROOKLYN HEIGHTS,brooklyn,NY",Prop029
"75 POPLAR STREET,BROOKLYN HEIGHTS,brooklyn,NY",Prop030
"205 HICKS STREET,BROOKLYN HEIGHTS,brooklyn,NY",Prop031
"360 FURMAN STREET,BROOKLYN HEIGHTS,brooklyn,NY",Prop032
"166 MONTAGUE STREET,BROOKLYN HEIGHTS,brooklyn,NY",Prop033
"132 REMSEN STREET,BROOKLYN HEIGHTS,brooklyn,NY",Prop034
"60 STATE STREET,BROOKLYN HEIGHTS,brooklyn,NY",Prop035
"64 COURT STREET,BROOKLYN HEIGHTS,brooklyn,NY",Prop036
"110 LIVINGSTON STREET,DOWNTOWN-FULTON MALL,brooklyn,NY",Prop037
"110 LIVINGSTON STREET,DOWNTOWN-FULTON MALL,brooklyn,NY",Prop038
"304 HENRY STREET,BROOKLYN HEIGHTS,brooklyn,NY",Prop039
"141 ATLANTIC AVENUE,BROOKLYN HEIGHTS,brooklyn,NY",Prop040
"125 COURT STREET,BOERUM HILL,brooklyn,NY",Prop041
"120 BOERUM PLACE,BOERUM HILL,brooklyn,NY",Prop042
"25 BERGEN STREET,BOERUM HILL,brooklyn,NY",Prop043
"124 ATLANTIC AVENUE,COBBLE HILL,brooklyn,NY",Prop044
"158 ATLANTIC AVENUE,COBBLE HILL,brooklyn,NY",Prop045
"200 ATLANTIC AVENUE,COBBLE HILL,brooklyn,NY",Prop046
"401 HICKS STREET,COBBLE HILL,brooklyn,NY",Prop047
"414 HICKS STREET,COBBLE HILL-WEST,brooklyn,NY",Prop048
"42 TIFFANY PLACE,COBBLE HILL-WEST,brooklyn,NY",Prop049
"60 TIFFANY PLACE,COBBLE HILL-WEST,brooklyn,NY",Prop050
"20 TIFFANY PLACE,COBBLE HILL-WEST,brooklyn,NY",Prop051
"10208 KANE STREET,COBBLE HILL-WEST,brooklyn,NY",Prop052
"63 TIFFANY PLACE,COBBLE HILL-WEST,brooklyn,NY",Prop053
"29 TIFFANY PLACE,COBBLE HILL-WEST,brooklyn,NY",Prop054
"501 HICKS STREET,COBBLE HILL,brooklyn,NY",Prop055
"192 DE GRAW STREET,COBBLE HILL,brooklyn,NY",Prop056
"158 SACKETT STREET,COBBLE HILL-WEST,brooklyn,NY",Prop057
"156 SACKETT STREET,COBBLE HILL-WEST,brooklyn,NY",Prop058
"358 COURT STREET,CARROLL GARDENS,brooklyn,NY",Prop059
"69 CARROLL STREET,COBBLE HILL-WEST,brooklyn,NY",Prop060
"296 COLUMBIA STREET,COBBLE HILL-WEST,brooklyn,NY",Prop061
"653 HICKS STREET,CARROLL GARDENS,brooklyn,NY",Prop062
"529 CLINTON STREET,CARROLL GARDENS,brooklyn,NY",Prop063
"328 BERGEN STREET,BOERUM HILL,brooklyn,NY",Prop064
"173 SMITH STREET,BOERUM HILL,brooklyn,NY",Prop065
"318 WARREN STREET,BOERUM HILL,brooklyn,NY",Prop066
"209 SMITH STREET,CARROLL GARDENS,brooklyn,NY",Prop067
"378 BALTIC STREET,CARROLL GARDENS,brooklyn,NY",Prop068
"463 DE GRAW STREET,GOWANUS,brooklyn,NY",Prop069
"344 DE GRAW STREET,CARROLL GARDENS,brooklyn,NY",Prop070
"294 SMITH STREET,CARROLL GARDENS,brooklyn,NY",Prop071
"376 PRESIDENT STREET,GOWANUS,brooklyn,NY",Prop072
"395 SMITH STREET,CARROLL GARDENS,brooklyn,NY",Prop073
"191 LUQUER STREET,CARROLL GARDENS,brooklyn,NY",Prop074
